inchi,inchikey,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,PN,reference,DOI
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",93,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O/c1-12-5-7-13(8-6-12)14-9-10-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",MWXYQNUGONRDPF-UHFFFAOYSA-N,Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,Cc1ccc(-c2cc(-c3cc(-c4ccc(C)cc4)cc(C(C)(C)C)c3O)c(O)c(C(C)(C)C)c2)cc1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",97,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O/c1-12-6-5-7-13(10-12)14-8-9-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",SHNFHFYHZCSNGT-UHFFFAOYSA-N,Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,Cc1cccc(-c2cc(-c3cc(-c4cccc(C)c4)cc(C(C)(C)C)c3O)c(O)c(C(C)(C)C)c2)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",95,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C16H18O/c1-16(2,3)14-11-13(9-10-15(14)17)12-7-5-4-6-8-12/h4-11,17H,1-3H3",KXQMNHRMRRUCCA-UHFFFAOYSA-N,CC(C)(C)c1cc(-c2ccccc2)ccc1O,CC(C)(C)c1cc(-c2ccccc2)cc(-c2cc(-c3ccccc3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",94,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C16H17FO/c1-16(2,3)14-10-12(6-9-15(14)18)11-4-7-13(17)8-5-11/h4-10,18H,1-3H3",CFEXOJQZWPCJAY-UHFFFAOYSA-N,CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,CC(C)(C)c1cc(-c2ccc(F)cc2)cc(-c2cc(-c3ccc(F)cc3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",94,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C16H26O/c1-7-15(3,4)12-9-10-14(17)13(11-12)16(5,6)8-2/h9-11,17H,7-8H2,1-6H3",WMVJWKURWRGJCI-UHFFFAOYSA-N,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,CCC(C)(C)c1cc(-c2cc(C(C)(C)CC)cc(C(C)(C)CC)c2O)c(O)c(C(C)(C)CC)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",93,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H17F3O/c1-16(2,3)14-10-12(6-9-15(14)21)11-4-7-13(8-5-11)17(18,19)20/h4-10,21H,1-3H3",LCLLCIOCDQHZOY-UHFFFAOYSA-N,CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)cc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",93,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O/c1-12-7-5-6-8-14(12)13-9-10-16(18)15(11-13)17(2,3)4/h5-11,18H,1-4H3",MIGHBKRXISUNAH-UHFFFAOYSA-N,Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,Cc1ccccc1-c1cc(-c2cc(-c3ccccc3C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",91,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C15H24O/c1-7-15(5,6)11-8-9-13(16)12(10-11)14(2,3)4/h8-10,16H,7H2,1-6H3",NZRSIUKTGLRKIQ-UHFFFAOYSA-N,CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CCC(C)(C)c1cc(-c2cc(C(C)(C)CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",91,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C20H20O/c1-20(2,3)18-13-17(10-11-19(18)21)16-9-8-14-6-4-5-7-15(14)12-16/h4-13,21H,1-3H3",RRVVCCMXWFMBON-UHFFFAOYSA-N,CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,CC(C)(C)c1cc(-c2ccc3ccccc3c2)cc(-c2cc(-c3ccc4ccccc4c3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']",['121-44-8'],91,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C13H20O/c1-9(2)10-6-7-12(14)11(8-10)13(3,4)5/h6-9,14H,1-5H3",KXLQULHLCDGRKG-UHFFFAOYSA-N,CC(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)c1cc(-c2cc(C(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",90,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C19H24O/c1-18(2,3)16-13-15(11-12-17(16)20)19(4,5)14-9-7-6-8-10-14/h6-13,20H,1-5H3",UYHCLPYFSWPVDZ-UHFFFAOYSA-N,CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,CC(C)(C)c1cc(C(C)(C)c2ccccc2)cc(-c2cc(C(C)(C)c3ccccc3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",88,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O2/c1-17(2,3)15-11-13(8-9-16(15)18)12-6-5-7-14(10-12)19-4/h5-11,18H,1-4H3",ZNQROGZUPLIHRW-UHFFFAOYSA-N,COc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,COc1cccc(-c2cc(-c3cc(-c4cccc(OC)c4)cc(C(C)(C)C)c3O)c(O)c(C(C)(C)C)c2)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",85,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C24H26O/c1-23(2,18-11-7-5-8-12-18)20-15-16-22(25)21(17-20)24(3,4)19-13-9-6-10-14-19/h5-17,25H,1-4H3",FMUYQRFTLHAARI-UHFFFAOYSA-N,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,CC(C)(c1ccccc1)c1cc(-c2cc(C(C)(C)c3ccccc3)cc(C(C)(C)c3ccccc3)c2O)c(O)c(C(C)(C)c2ccccc2)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",77,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3",IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)(C)C)c1,Cc1cc(-c2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",81,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O2/c1-17(2,3)15-11-13(7-10-16(15)18)12-5-8-14(19-4)9-6-12/h5-11,18H,1-4H3",RVQFVPJINCDYOT-UHFFFAOYSA-N,COc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,COc1ccc(-c2cc(-c3cc(-c4ccc(OC)cc4)cc(C(C)(C)C)c3O)c(O)c(C(C)(C)C)c2)cc1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",84,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C11H16O/c1-8-7-9(11(2,3)4)5-6-10(8)12/h5-7,12H,1-4H3",SNKLPZOJLXDZCW-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)ccc1O,Cc1cc(C(C)(C)C)cc(-c2cc(C(C)(C)C)cc(C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",83,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C17H20O2/c1-17(2,3)14-11-12(9-10-15(14)18)13-7-5-6-8-16(13)19-4/h5-11,18H,1-4H3",BMPNDYAHOPAPDC-UHFFFAOYSA-N,COc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,COc1ccccc1-c1cc(-c2cc(-c3ccccc3OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",83,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
"InChI=1S/C29H28O/c1-28(2,3)26-21-25(19-20-27(26)30)29(22-13-7-4-8-14-22,23-15-9-5-10-16-23)24-17-11-6-12-18-24/h4-21,30H,1-3H3",UYZPWQUQEPASMO-UHFFFAOYSA-N,CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc(-c2cc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc(C(C)(C)C)c2O)c1O,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",83,1,Controlling the Catalytic Aerobic Oxidation of Phenols,https://doi.org/10.1021/ja501789x
